facility_row_order,dc_id,facility_name_market_page,facility_name_detail_page,market_name_market_page,market_name_detail_page,market_slug,operator_market_page,company_name_detail_page,operator_final,street_address_market_page,street_address_detail_page,postal_detail_page,city_detail_page,country_detail_page,listing_type,capacity_type,status_code,status_label,stage_code,stage_label,latitude,longitude,description,tags,detail_url,market_url,market_listed_count,has_coordinates,kommunkod,lanskod,kommunnamn,lansnamn,east_3006,north_3006
11,10616,Conapto Stockholm 4 South,Conapto Stockholm 4 South,Stockholm,Stockholm,stockholm,Conapto AB,Conapto AB,Conapto AB,Stensätravägen 6,Stensätravägen 6,127 39,Skärholmen,Sweden,Facility,Colocation,1,active,2,operational,59.285807,17.928923,"Stockholm 4 South, a cornerstone of Conapto's Stockholm South Campus, offer top-tier colocation services and a flexible infrastructure. This expansive facility seamlessly integrates with Stockholm 2 South, offering a staggering 7600 square meters of computer room space and total 24 MW of power.  Its flexible design includes a 500 square meter retail colocation computer room while the remaining white space awaits bespoke customer solutions tailored to unique needs. Stockholm 4 South is the first data center provider in Europe to achieve the prestigious OCP Ready™ for Hyperscale certification.

Stockholm 4 South prioritizes sustainability. It operates on 100% renewable energy via Vattenfall 24/7 matching and cleverly channels waste heat into Stockholm Exergi's district heating network.  For the security-conscious, the facility offers computer rooms boasting shell protection class 3.

This data center caters to diverse requirements, effortlessly accommodating everything from single racks to purpose-built cages and fully private suites.  Clients can rest assured their data resides in a sustainable, secure, and optimally connected environment.

Some key features include:
- Up to 14 MW of scalable colocation capacity
- Flexible and adaptable design tailored to suit the varied needs of our clients
- Liquid cooling readiness, ready to support the latest in cooling advancements
- AI-ready infrastructure, featuring a slab floor and versatile configurations
- Powered by 100% renewable energy, promoting climate-responsible operations
- Heat reuse connected to the district heating system, ensuring energy is repurposed efficiently
- Enhanced security with Security Class 3 protection",,https://www.datacentermap.com/sweden/stockholm/conapto-stockholm-4-south/,https://www.datacentermap.com/sweden/stockholm/,48,True,180,01,Stockholm,Stockholms län,666842.0,6575545.0
12,4816,Vaultica STO01A,Vaultica STO01A,Stockholm,Stockholm,stockholm,Vaultica Data Centers,Vaultica Data Centers,Vaultica Data Centers,Smedbyvagen 6,Smedbyvagen 6,19430,Upplands Vasby,Sweden,Facility,Colocation,1,active,2,operational,59.510094,17.897168,"STACK Infrastructure is a leading provider of digital infrastructure to scale the world's most innovative companies. The Company delivers an extensive geographic footprint spanning the United States, Canada, Europe and Asia Pacific and a comprehensive suite of data center and digital infrastructure solutions, including hyperscale campuses and build-to-suit data centers (""HYPERSTACK""), immediately available wholesale colocation and private data suites (""READYSTACK""), and powered shell options (""POWERSTACK"").

The STO01 campus is located in Upplands Väsby, a communications center for the northern suburbs of Stockholm. The location enables carrier neutral high speed connectivity. The unique combination of ample connectivity, significant expansion capacity, and state-of-the-art technical solutions ensure the Stockholm site is truly exceptional and sets a new standard for scalable colocation.

STACK STO01A is a highly connected and secure colocation data center at our Stockholm STO01 Campus, powered by 100% renewable energy.

STO01A offers available white space, for both READYSTACK and POWERSTACK solutions.",Hyperscale-Ready,https://www.datacentermap.com/sweden/stockholm/digiplex-stockholm-1/,https://www.datacentermap.com/sweden/stockholm/,48,True,114,01,Upplands Väsby,Stockholms län,663946.6,6600426.5
13,8267,atNorth SWE01,atNorth SWE01,Stockholm,Stockholm,stockholm,atNorth,atNorth,atNorth,Esbogatan 4,Esbogatan 4,164 74,Kista,Sweden,Facility,Colocation,1,active,2,operational,59.415505,17.929751,"atNorth offers state-of-the-art facilities for equipment housing. Maintained round the clock by expert staff, all facilities are equipped to the highest industry standards, with multiple redundant fiber connections, 24 hour security, automatic fire suppression, flexible AC and DC power distribution, and uninterruptible power supply (UPS) with backup generators. atNorth customers can house their equipment in shared rooms, cages or private suites in a highly secure managed environment with up to 99.999% availability of power. On-site hands-and-eyes, engineering and maintenance services include preventive, pre-scheduled and rapid-response installation or maintenance work.",AI-Ready,https://www.datacentermap.com/sweden/stockholm/advania-stockholm1/,https://www.datacentermap.com/sweden/stockholm/,48,True,180,01,Stockholm,Stockholms län,666253.7,6589980.7
14,10617,Conapto Stockholm 1 City,Conapto Stockholm 1 City,Stockholm,Stockholm,stockholm,Conapto AB,Conapto AB,Conapto AB,Sandhamnsgatan 63B,Sandhamnsgatan 63B,115 28,Stockholm,Sweden,Facility,Colocation,1,active,2,operational,59.340919,18.112269,"Nestled within Stockholm's bustling center, Stockholm 1 City emerges as Conapto's strategically located data center solution. This facility caters perfectly to smaller deployments, ideal for businesses seeking colocation capacity just minutes from the heart of the city.  Additionally, the data center accommodates companies with stringent compliance requirements through its workplace recovery services.  Stockholm 1 City offers scalability, seamlessly accommodating everything from single racks to secure caged solutions.  The data center boasts a single computer room, delivers a 1 MW capacity, and prioritizes sustainability by operating entirely on 100% renewable electricity via Vattenfall's 24/7 matching program.",,https://www.datacentermap.com/sweden/stockholm/conapto-stockholm-1-city/,https://www.datacentermap.com/sweden/stockholm/,48,True,180,01,Stockholm,Stockholms län,676994.5,6582151.3
15,8263,Glesys Stockholm,Glesys Stockholm,Stockholm,Stockholm,stockholm,Glesys,Glesys,Glesys,Västberga Allé 60,Västberga Allé 60,12630,Stockholm,Sweden,Facility,Colocation,1,active,2,operational,59.289567,18.016668,"At GleSYS, we're committed to making our business as sustainable as possible. We've introduced a range of initiatives to minimize the long-term environmental impact. The power in our highly connected carrier neutral facility comes from 100% from renewable sources. It is eco-labeled ""Good Environmental Choice"" by the Swedish Society for Nature Conservation. Furthermore, our data center&#39;s excess heat is being part of keeping its citizens warm year-round through district heating.

Services include but are not limited to Colocation Cages Suites 1/3-Rack Shared Colo-rack 24/7 onsite support 24/7 accessibility Cloud Dedicated Servers VPS Managed Hosting Storage Backup Network Services.",,https://www.datacentermap.com/sweden/stockholm/glesys-vbdc1/,https://www.datacentermap.com/sweden/stockholm/,48,True,180,01,Stockholm,Stockholms län,671819.2,6576186.4
16,12845,atNorth SWE02,atNorth SWE02,Stockholm,Stockholm,stockholm,atNorth,atNorth,atNorth,Vandagatan,Vandagatan,164 74,Kista,Sweden,Facility,Colocation,1,active,0,planned,59.420604,17.919098,"atNorth has announced plans to build a second data center in Stockholm, Sweden, known as SWE02. The facility is scheduled to go live in Q4 2027.

The new site will have a capacity of 30MW and will be located close to the company’s first Swedish data center, SWE01, which opened in March 2022. The project will include a new substation built by Ellevio.

SWE02 will feature heat reuse capabilities through a collaboration with Stockholm Exergi, enabling recycled heat to support local needs and contribute to Sweden’s circular economy.

The existing SWE01 facility is located in Kista, a suburb of Stockholm. It offers 12MW of capacity across 6,400 sqm and currently hosts clients including 6G AI Sweden and AlphaTon Capital Corp.",Carrier Neutral|AI-Ready,https://www.datacentermap.com/sweden/stockholm/atnorth-swe02/,https://www.datacentermap.com/sweden/stockholm/,48,True,180,01,Stockholm,Stockholms län,665624.5,6590521.6
17,8487,Kolo SE2 Tellus Stockholm,Kolo SE2 Tellus Stockholm,Stockholm,Stockholm,stockholm,Kolo,Kolo,Kolo,Norrlandsgatan 18,Norrlandsgatan 18,114 83,Stockholm,Sweden,Facility,Colocation,1,active,2,operational,59.335182,18.071335,"Our city sites are built to deliver the best of both worlds - instant access and to contribute to more sustainable IT operations. Located in different parts of Stockholm they together constitute one of the market's strongest twin-site alternatives. City Sites are optimized for colocation of data with ultra-low latency. By placing your demanding equipment for applications such as Edge, IoT, and data that require full replication in our City Sites, you can take a big step towards more sustainable IT operations.

The sites are fundamentally designed and built for data center operations and are thus fully optimized for this purpose. Both sites have very advanced shell protection with the aim of creating a safe place for our customers' equipment. In addition to this, the design and construction of the supply systems are based on market-leading technology and redundant systems.

Our data center City 1 is strategically located near Stockholm City and equipped with robust shell protection. The data center is built and designed to create a safe and reliable operating environment, ideal for customers who place high demands on availability and security. With a high level of redundancy in all supply systems, staffing around the clock and a secure energy supply that guarantees the highest level of operational reliability, City 1 is one of Stockholm&#39;s most modern data centers. Heat recycling for district heating makes the site a climate-smart alternative, ideal for equipment that needs to be located in Stockholm, or as a complement to our Main Site in Falun.

City 2 has the entire roof filled with solar panels, which makes the data center a climate-smart alternative, ideal for equipment that needs to be located in Stockholm or as a complement to our Main Site in Falun. With a location close to Stockholm city and with robust shell protection, the data center is designed to offer a safe and reliable operating environment that matches high demands on accessibility and security. All supply systems have a high level of redundancy, the center is staffed around the clock and has a secure energy supply that guarantees the highest level of operational reliability.",,https://www.datacentermap.com/sweden/stockholm/ecodatacenter-city/,https://www.datacentermap.com/sweden/stockholm/,48,True,180,01,Stockholm,Stockholms län,674697.2,6581404.7
18,11996,Obe Kista Gate,Obe Kista Gate,Stockholm,Stockholm,stockholm,Obenetwork AB,Obenetwork AB,Obenetwork AB,Torshamnsgatan 48,Torshamnsgatan 48,164 40,Kista,Sweden,Facility,Colocation,1,active,2,operational,59.409168,17.948892,"Located in the technological hub of Kista, north of Stockholm, the Obe Data Center stands as a testament to modern data management and security. With a strategic position between the city and Arlanda airport, it offers high-density co-location services, capable of supporting up to 22 kW per cabinet. The facility boasts redundant cooling systems, UPS, and generators, ensuring uninterrupted service.

Security is paramount, with perimeter access controlled by the property owner and additional surveillance managed by Obe, including camera monitoring and 24/7/365 alarm systems. The data center is also equipped with redundant fiber paths for robust connectivity.

Power and cooling systems are designed for redundancy, with a capacity of 2 MW, three MGE Galaxy 300 kVa UPS units, and three Stamford 700 kVa generators. Cooling is handled by four 80 kW units, and fire prevention is managed with an Inergen system, reflecting Obe's commitment to reliability and safety.",,https://www.datacentermap.com/sweden/stockholm/obe-kista-gate/,https://www.datacentermap.com/sweden/stockholm/,48,True,163,01,Sollentuna,Stockholms län,667370.7,6589323.5
19,4853,Equinix SK2,Equinix SK2,Stockholm,Stockholm,stockholm,Equinix,Equinix,Equinix,Kvastvagen 25,Kvastvagen 25,12862,Skondal,Sweden,Facility,Colocation,1,active,2,operational,59.263435,18.10564,"TelecityGroup is Europe's industry-leading provider of premium carrier-neutral data centres. We specialise in the design, build and management of highly-connected, resilient and secure environments for customers to house their telecoms, internet and IT infrastructure.

Our data centres are located in the key European connectivity hubs. A TelecityGroup data centre is a thriving digital ecosystem providing direct access to a wide choice of telecoms and content distribution networks, key internet exchange points and cloud hubs",,https://www.datacentermap.com/sweden/stockholm/telecitygroup-stockholm2/,https://www.datacentermap.com/sweden/stockholm/,48,True,180,01,Stockholm,Stockholms län,677020.0,6573511.4
20,3532,Bahnhof - Sterik,Bahnhof - Sterik,Stockholm,Stockholm,stockholm,Bahnhof,Bahnhof,Bahnhof,Norra stationsgatan 61,Norra stationsgatan 61,11343,Stockholm,Sweden,Facility,Colocation,1,active,2,operational,59.346352,18.039445,"Bahnhof Data center Sterik features high density cooling and has recently been expanded and mechanically overhauled with new gen set, switch board, etc. Now holds 120+ rack of which 50 can support true high density loads with regards to both power and cooling. True choice of service level, only colocation, colocation with remote hands or managed hosting - it's your choice. 

Please contact or sales department at sales&lt;at&gt;bahnhof.net for more information!",,https://www.datacentermap.com/sweden/stockholm/bahnhof-sterik/,https://www.datacentermap.com/sweden/stockholm/,48,True,180,01,Stockholm,Stockholms län,672827.3,6582564.5
21,5973,Equinix SK3,Equinix SK3,Stockholm,Stockholm,stockholm,Equinix,Equinix,Equinix,Finspangsgatan 48,Finspangsgatan 48,16353,Spanga,Sweden,Facility,Colocation,1,active,2,operational,59.391047,17.875807,"Flexible, scalable power densities & configuration

Because our data centres are based on flexible modular infrastructure, they can easily scale and adapt to your exact requirements and long-term strategic needs.
Flexible, scalable power densities from 1kW of power per rack allow you to have a mix of densities in the same area, only drawing the power you need to each individual rack. All your equipment can be located together, making it easy to manage and eliminating extra interconnects. If you want to add a new server to your rack, you can simply add more power to support it.

",,https://www.datacentermap.com/sweden/stockholm/telecitygroup-stockholm3/,https://www.datacentermap.com/sweden/stockholm/,48,True,180,01,Stockholm,Stockholms län,663311.5,6587125.2
22,10441,Fiber Direkt Stockholm Nord,Fiber Direkt Stockholm Nord,Stockholm,Stockholm,stockholm,Fiber Direkt AB,Fiber Direkt AB,Fiber Direkt AB,Barks väg 15,Barks väg 15,170 73,Solna,Sweden,Facility,Colocation,1,active,2,operational,59.379671,18.035023,"Data centers (DCs) are central and vital points in our ecosystem. These are often found locally and are spread out in the different directions: East, West, North, and South.

Thus, it is quite easy to create improved availability, security, redundancy, and really low latency by utilizing those that are closest geographically. We also have the option to offer data centers far away or even in another Nordic country if this is a requirement, for example, for long-term data storage. 

A well-functioning DC always has redundant power and cooling. Stockholm Nord has an impressive capacity of over 1.6 MW from Vattenfall and redundant backup power, 3 x Volvo diesels. The facility is well equipped to be operational regardless of the circumstances. Stockholm Nord stands out with exceptionally climate-smart performance, security, and is certified according to Protection Class 3 (skyddsklass 3) and Alarm Class 3 (larmklass 3).

We want to offer a sustainable future through efficient heat recovery and redundant communication solutions. We offer co-location for both small and large organizations. With over 10,000 available rack spaces, there is room to grow in this data center. We strive for the highest standards in environmental and security standards. We also offer the possibility of a private cage or a separate room.",AI-Ready,https://www.datacentermap.com/sweden/stockholm/fiber-direkt-stockholm-nord/,https://www.datacentermap.com/sweden/stockholm/,48,True,184,01,Solna,Stockholms län,672406.8,6586260.8
23,2271,Bahnhof - Pionen,Bahnhof - Pionen,Stockholm,Stockholm,stockholm,Bahnhof,Bahnhof,Bahnhof,Renstiernas Gata 37,Renstiernas Gata 37,11631,Stockholm,Sweden,Facility,Colocation,1,active,2,operational,59.312413,18.08563,"One of Sweden's most modern data centers deep in the bedrock. The space was originally a military bunker from World War II which was built to withstand nuclear attacks. The center possesses the latest in security, UPS, cooling and electrical power. Of course, all set with redundancy. If the center would be subjected to an extended power outage is also heavy diesel generators on site to keep the stream alive. Besides this, it is also guarded against fire and floods. Obviously, the whole center is video monitored around the clock.",,https://www.datacentermap.com/sweden/stockholm/pionen/,https://www.datacentermap.com/sweden/stockholm/,48,True,180,01,Stockholm,Stockholms län,675627.4,6578908.6
24,14266,Bahnhof - Elementica,Bahnhof - Elementica,Stockholm,Stockholm,stockholm,Bahnhof,Bahnhof,Bahnhof,Midskogsgränd 11,Midskogsgränd 11,115 93,Stockholm,Sweden,Land,Colocation,1,active,-1,shelved,59.351525,18.096191,"Elementica Data Center is a high-efficiency colocation facility located in Stockholm, Sweden. Developed by Bahnhof, it is designed to be environmentally friendly, utilizing waste heat recovery to contribute to Stockholm’s district heating system. The facility has a 21MW power capacity, ensuring robust infrastructure for hyperscale and enterprise customers.

Elementica is built with CO₂-neutral power sources, offering low electricity costs and high connectivity. The data center integrates advanced security measures, including redundant fiber connections, UPS battery systems, and backup generators for uninterrupted operations. It is also ISO-certified, ensuring compliance with industry-leading standards.

The facility is part of Bahnhof’s expanding portfolio of sustainable data centers, reinforcing Sweden’s position as a leading hub for digital infrastructure. Elementica aims to set a new benchmark in energy efficiency and climate-conscious data center operations.",,https://www.datacentermap.com/sweden/stockholm/bahnhof-elementica/,https://www.datacentermap.com/sweden/stockholm/,48,True,180,01,Stockholm,Stockholms län,676025.7,6583288.8
